student_id,CGPA,IELTS,GATE,LOR,research_experience,work_experience,course,chances,university
0,1.79,8,561,3,0,0,1,8,AU
1,5.48,7,145,0,1,1,1,16,AU
2,2.54,0,751,0,1,0,1,12,AU
3,2.75,2,599,2,0,1,1,14,AU
4,1.86,5,876,3,0,0,1,9,AU
5,2.94,1,987,3,1,0,1,15,AU
6,7.06,3,424,1,0,1,1,29,AU
7,0.65,2,327,0,0,0,1,1,AU
8,8.12,6,759,3,1,1,1,91,AU
9,3.17,4,481,0,1,0,1,25,AU
10,6.02,2,215,4,0,0,1,23,AU
11,8.16,5,208,2,0,1,1,35,AU
12,2.3,8,272,0,1,0,1,16,AU
13,6.29,7,525,2,1,1,1,57,AU
14,9.98,6,227,1,1,1,1,54,AU
15,7.14,2,6,3,1,0,1,16,AU
16,6.25,3,640,2,0,0,1,45,AU
17,8.97,5,760,2,1,0,1,48,AU
18,5.28,5,902,3,0,0,1,46,AU
19,6.14,2,9,2,1,0,1,7,AU
20,9.41,2,802,0,0,0,1,62,AU
21,9.72,1,230,4,1,1,1,38,AU
22,1.44,7,673,1,1,1,1,8,AU
23,5.37,0,814,3,0,1,1,24,AU
24,9.85,5,250,0,1,1,1,32,AU
25,4.8,5,182,2,1,0,1,18,AU
26,3.67,3,106,2,1,1,1,8,AU
27,7.46,8,368,4,1,0,1,57,AU
28,8.33,4,187,0,0,1,1,47,AU
29,9.2,8,291,4,1,1,1,55,AU
30,5.05,5,988,2,1,1,1,32,AU
31,4.66,4,672,1,1,0,1,13,AU
32,2.81,5,549,0,0,0,1,12,AU
33,8.45,2,160,4,0,0,1,23,AU
34,7.74,0,17,3,0,1,1,7,AU
35,6.76,7,902,3,1,1,1,82,AU
36,6.16,0,784,1,0,0,1,68,AU
37,9.13,2,674,2,0,1,1,62,AU
38,9.76,5,902,0,1,1,1,85,AU
39,0.12,8,545,4,0,0,1,1,AU
40,6.4,3,368,1,1,0,1,32,AU
41,4.44,8,302,0,1,1,1,38,AU
42,7.42,0,761,4,0,0,1,49,AU
43,2.19,6,272,1,0,0,1,15,AU
44,1.96,6,822,4,1,0,1,9,AU
45,4.38,8,667,1,1,1,1,38,AU
46,8.8,5,641,0,1,1,1,67,AU
47,5.64,4,155,3,1,0,1,28,AU
48,9.01,6,682,3,0,1,1,92,AU
49,0.84,8,834,4,1,0,1,4,AU
50,8.5,1,638,0,0,1,1,33,AU
51,0.95,3,213,1,0,0,1,2,AU
52,5.75,8,295,0,0,0,1,25,AU
53,0.11,7,409,2,0,0,1,8,AU
54,1.52,1,906,4,1,1,1,7,AU
55,3.65,8,148,3,1,1,1,13,AU
56,2.36,5,373,0,1,0,1,2,AU
57,2.77,1,41,0,1,0,1,1,AU
58,0.09,7,30,3,1,1,1,0,AU
59,0.25,8,633,3,0,1,1,0,AU
60,3.91,5,544,2,1,0,1,15,AU
61,9.76,0,121,1,1,0,1,26,AU
62,2.43,1,47,1,1,1,1,3,AU
63,1.81,0,539,0,1,1,1,1,AU
64,7.06,0,187,0,1,1,1,24,AU
65,3.5,0,910,2,1,0,1,19,AU
66,1.44,3,59,3,1,0,1,1,AU
67,6.89,1,35,2,0,0,1,14,AU
68,9.16,5,487,1,1,0,1,39,AU
69,4.73,3,164,3,1,0,1,16,AU
70,9.34,8,565,0,0,1,1,76,AU
71,3.84,6,249,3,1,1,1,16,AU
72,2.02,2,639,2,0,0,1,8,AU
73,7.09,7,491,3,0,1,1,76,AU
74,5.49,2,282,3,1,0,1,33,AU
75,2.57,1,433,0,1,0,1,27,AU
76,6.46,6,201,2,1,1,1,19,AU
77,8.2,2,643,3,1,1,1,68,AU
78,4.54,7,626,1,0,0,1,46,AU
79,5.34,0,282,4,0,1,1,15,AU
80,7.22,2,516,1,1,1,1,48,AU
81,2.05,3,863,3,0,0,1,12,AU
82,6.24,5,663,1,0,1,1,59,AU
83,1.31,4,78,2,1,1,1,1,AU
84,1.12,0,236,0,1,1,1,1,AU
85,8.89,6,454,4,0,1,1,62,AU
86,1.41,2,253,0,1,1,1,1,AU
87,2.23,5,676,3,1,0,1,17,AU
88,6,4,976,0,0,1,1,0,AU
89,5.34,7,488,1,0,0,1,44,AU
90,3.67,2,705,4,1,1,1,23,AU
91,9.43,5,860,3,1,0,1,86,AU
92,6.6,8,274,4,1,0,1,64,AU
93,7.31,6,195,4,0,0,1,60,AU
94,2.27,5,882,1,0,1,1,12,AU
95,7.22,7,56,1,0,1,1,32,AU
96,0.67,1,130,4,1,0,1,0,AU
97,9.95,9,882,4,1,0,1,99,AU
98,0,5,213,4,1,0,1,0,AU
99,0.28,6,307,2,1,1,1,0,AU
