student_id,CGPA,GATE,LOR,research_experience,work_experience,course,chances,university
0,4,100,0,1,0,1,52,PU
1,5.38,170,1,0,0,1,62,PU
2,5.75,237,2,0,0,1,65,PU
3,1.06,308,1,1,1,1,23,PU
4,6.21,679,4,0,0,1,94,PU
5,0.99,651,1,0,0,1,0,PU
6,2.62,967,0,0,0,1,10,PU
7,1.89,781,0,0,0,1,2,PU
8,9.39,215,4,0,1,1,58,PU
9,4.66,732,0,0,1,1,74,PU
10,6.1,778,4,0,1,1,93,PU
11,3.5,317,2,1,0,1,51,PU
12,3.99,149,4,0,1,1,21,PU
13,1.56,563,2,1,1,1,0,PU
14,1.71,143,1,0,0,1,0,PU
15,5.06,402,2,1,0,1,48,PU
16,5.46,415,0,1,0,1,58,PU
17,5.91,136,1,1,1,1,45,PU
18,3.67,626,4,1,0,1,20,PU
19,4.69,270,0,0,0,1,48,PU
20,0.2,883,0,1,0,1,0,PU
21,8.19,494,1,1,0,1,48,PU
22,2.69,606,0,0,0,1,0,PU
23,2.05,119,2,0,0,1,0,PU
24,3.9,157,3,0,1,1,43,PU
25,4.1,382,3,1,1,1,22,PU
26,8.58,814,2,1,1,1,95,PU
27,0.97,698,1,1,0,1,0,PU
28,7.6,522,2,0,0,1,86,PU
29,5.29,87,1,0,1,1,42,PU
30,7.79,428,0,1,1,1,46,PU
31,5.55,334,3,0,1,1,43,PU
32,8.85,912,4,1,0,1,92,PU
33,0.4,953,3,1,1,1,0,PU
34,5.01,524,1,1,1,1,43,PU
35,3.88,415,0,0,1,1,47,PU
36,7.86,2,3,1,0,1,2,PU
37,9.09,811,4,1,1,1,96,PU
38,9.34,705,1,1,1,1,94,PU
39,0.22,652,0,0,1,1,0,PU
40,5.89,570,4,0,1,1,76,PU
41,9.36,59,1,0,0,1,43,PU
42,9.49,47,0,1,0,1,41,PU
43,1.03,14,2,1,1,1,0,PU
44,6.36,561,2,0,0,1,82,PU
45,0.68,408,2,1,1,1,0,PU
46,6.62,573,2,0,0,1,83,PU
47,2.7,43,2,0,1,1,0,PU
48,9.53,160,4,1,0,1,45,PU
49,6.59,459,3,0,1,1,53,PU
50,1.31,498,0,0,1,1,0,PU
51,9.76,896,3,0,0,1,98,PU
52,4.37,191,2,0,0,1,25,PU
53,8.76,953,3,0,0,1,91,PU
54,1.85,392,1,0,1,1,0,PU
55,2.59,678,4,0,0,1,45,PU
56,4.17,124,2,0,0,1,51,PU
57,4.01,32,2,1,0,1,53,PU
58,3.04,703,2,1,1,1,0,PU
59,2.19,944,2,0,1,1,9,PU
60,5.21,695,4,0,1,1,59,PU
61,4.37,422,4,1,1,1,48,PU
62,9.52,547,4,0,1,1,93,PU
63,4.6,663,2,0,0,1,36,PU
64,0.65,217,4,0,0,1,0,PU
65,3.13,442,3,1,0,1,46,PU
66,5.87,419,1,0,1,1,53,PU
67,2.85,910,1,0,0,1,11,PU
68,3.21,655,1,1,0,1,48,PU
69,4.67,398,0,1,0,1,45,PU
70,2.11,437,2,1,0,1,30,PU
71,6.27,763,1,0,1,1,86,PU
72,3.23,951,0,0,1,1,21,PU
73,2.03,923,0,0,0,1,23,PU
74,6.42,223,1,0,1,1,54,PU
75,1.58,332,0,1,0,1,12,PU
76,3.85,304,2,0,0,1,9,PU
77,0.72,64,2,0,1,1,0,PU
78,9.85,575,1,0,0,1,84,PU
79,4.68,138,3,0,1,1,47,PU
80,3.01,990,3,1,1,1,25,PU
81,1.14,234,2,1,0,1,6,PU
82,2.65,176,3,0,1,1,5,PU
83,0.75,281,4,1,1,1,0,PU
84,8.63,415,0,1,1,1,56,PU
85,3.38,891,4,1,0,1,42,PU
86,6.78,142,4,0,1,1,32,PU
87,5.24,293,0,1,1,1,47,PU
88,2.64,794,3,0,1,1,14,PU
89,0.5,789,2,1,1,1,0,PU
90,5.09,265,2,1,0,1,43,PU
91,9.47,208,4,1,1,1,45,PU
92,1.21,844,4,1,1,1,12,PU
93,5.23,942,1,0,0,1,84,PU
94,5.64,564,4,1,0,1,72,PU
95,6.68,731,1,1,1,1,84,PU
96,4.39,903,0,1,0,1,51,PU
97,1.32,271,0,1,0,1,24,PU
98,9.03,845,0,1,1,1,98,PU
99,5.47,816,0,1,1,1,78,PU
