student_id,CGPA,IELTS,LOR,research_experience,work_experience,course,chances,university
0,6.34,2,0,1,1,1,36,QMU
1,1.38,4,3,0,1,1,5,QMU
2,1.73,4,0,1,1,1,6,QMU
3,9.98,5,0,1,1,1,45,QMU
4,9.5,2,4,1,1,1,34,QMU
5,5.11,6,0,0,0,1,23,QMU
6,6.61,3,2,0,0,1,14,QMU
7,9.48,6,1,0,1,1,78,QMU
8,8.07,6,4,0,1,1,87,QMU
9,1.88,2,4,0,0,1,2,QMU
10,4.12,0,0,1,1,1,1,QMU
11,8.83,8,1,1,0,1,89,QMU
12,9.78,6,2,0,1,1,91,QMU
13,0.72,1,1,0,1,1,0,QMU
14,9.83,6,0,1,0,1,75,QMU
15,1.08,6,2,0,0,1,4,QMU
16,2.48,5,0,1,1,1,6,QMU
17,8.93,3,1,1,0,1,88,QMU
18,5.58,0,2,0,0,1,16,QMU
19,2.24,1,3,1,1,1,6,QMU
20,9.2,0,4,1,0,1,26,QMU
21,1.98,3,3,0,1,1,3,QMU
22,2.46,7,3,0,0,1,8,QMU
23,2.43,6,2,0,0,1,9,QMU
24,3.41,5,2,1,1,1,10,QMU
25,6.98,8,0,1,0,1,42,QMU
26,3.06,2,0,0,0,1,21,QMU
27,6.1,7,4,0,0,1,38,QMU
28,7.49,1,4,0,0,1,11,QMU
29,5.02,2,1,1,0,1,13,QMU
30,5.33,1,4,0,1,1,12,QMU
31,6.16,6,2,1,0,1,26,QMU
32,8.18,0,2,1,1,1,23,QMU
33,4.25,5,3,1,1,1,15,QMU
34,7.27,6,0,0,0,1,35,QMU
35,4.85,3,0,0,1,1,21,QMU
36,3.76,2,2,0,1,1,12,QMU
37,5.18,8,0,0,1,1,26,QMU
38,0.4,3,4,0,0,1,0,QMU
39,7.53,5,1,1,1,1,67,QMU
40,5.75,5,0,0,0,1,23,QMU
41,8.38,7,4,0,0,1,83,QMU
42,9,7,4,0,1,1,97,QMU
43,7.92,5,0,1,1,1,64,QMU
44,3.78,4,0,1,0,1,10,QMU
45,1.26,5,3,0,0,1,2,QMU
46,5.56,0,0,0,1,1,8,QMU
47,9.11,0,2,0,1,1,7,QMU
48,6.14,2,1,0,1,1,55,QMU
49,9.61,4,4,0,0,1,62,QMU
50,9.28,6,0,0,1,1,65,QMU
51,0.83,0,0,0,1,1,0,QMU
52,4.65,3,1,1,1,1,13,QMU
53,5.35,0,1,1,0,1,17,QMU
54,7.26,6,3,0,0,1,54,QMU
55,1.37,5,4,0,0,1,1,QMU
56,4.23,8,0,0,1,1,23,QMU
57,9.34,5,2,0,0,1,67,QMU
58,9.7,7,0,1,1,1,91,QMU
59,3.99,0,1,0,1,1,12,QMU
60,6.82,2,4,1,0,1,43,QMU
61,9.28,0,2,0,0,1,31,QMU
62,9.7,4,1,1,0,1,35,QMU
63,0.62,0,2,1,0,1,0,QMU
64,7.16,6,4,0,0,1,61,QMU
65,2.34,1,2,0,0,1,2,QMU
66,6.09,0,2,0,0,1,18,QMU
67,8.68,2,3,0,1,1,23,QMU
68,4.74,5,0,0,1,1,9,QMU
69,8.61,1,0,1,0,1,17,QMU
70,7.73,2,3,1,0,1,58,QMU
71,5.21,7,2,0,1,1,34,QMU
72,0.19,5,2,0,1,1,0,QMU
73,0.49,8,0,1,0,1,0,QMU
74,1.33,3,1,1,0,1,1,QMU
75,0.18,8,2,1,0,1,0,QMU
76,1.76,7,2,1,1,1,3,QMU
77,5.3,5,2,1,0,1,24,QMU
78,3.81,3,3,0,1,1,13,QMU
79,6.62,2,3,1,0,1,31,QMU
80,4.43,7,0,1,0,1,21,QMU
81,8.04,6,4,1,1,1,81,QMU
82,5.53,8,2,0,1,1,61,QMU
83,9.71,8,2,1,1,1,91,QMU
84,0.96,5,1,0,1,1,0,QMU
85,9.34,7,0,1,1,1,61,QMU
86,8.31,3,4,1,1,1,35,QMU
87,8.07,6,4,0,1,1,79,QMU
88,4.74,6,2,0,0,1,21,QMU
89,6.61,2,1,1,0,1,25,QMU
90,9.95,3,4,0,0,1,32,QMU
91,2.89,8,0,1,0,1,18,QMU
92,7.18,5,4,0,0,1,68,QMU
93,0.28,2,0,0,1,1,0,QMU
94,7.04,8,3,1,1,1,77,QMU
95,8.81,1,3,1,0,1,48,QMU
96,4.33,6,4,0,0,1,16,QMU
97,6.7,8,1,1,0,1,41,QMU
98,8.25,2,2,1,0,1,22,QMU
99,9.06,1,4,0,0,1,19,QMU
