student_id,CGPA,IELTS,GRE,LOR,research_experience,work_experience,course,chances,university
0,2.83,2,681,4,0,0,1,11,UIUC
1,4.96,1,832,1,0,0,1,21,UIUC
2,1.48,6,948,0,1,0,1,2,UIUC
3,1.99,4,430,4,0,1,1,2,UIUC
4,8.44,5,655,0,1,0,1,49,UIUC
5,8.92,5,335,0,0,0,1,48,UIUC
6,4.69,4,833,2,0,0,1,32,UIUC
7,6.09,2,908,1,0,1,1,0,UIUC
8,9.8,1,694,3,0,1,1,38,UIUC
9,3.12,7,709,2,0,1,1,14,UIUC
10,8.63,5,637,3,1,0,1,41,UIUC
11,4.42,0,720,0,1,1,1,17,UIUC
12,9.28,1,426,0,1,0,1,25,UIUC
13,1.72,7,561,3,0,0,1,1,UIUC
14,5.25,2,242,3,0,1,1,17,UIUC
15,9.95,7,580,3,1,0,1,92,UIUC
16,7.77,8,655,2,0,1,1,62,UIUC
17,5.49,6,672,4,1,1,1,23,UIUC
18,3.18,6,323,3,1,1,1,15,UIUC
19,3.52,0,804,0,0,1,1,8,UIUC
20,8.39,4,598,4,0,0,1,49,UIUC
21,6.09,6,429,4,1,1,1,47,UIUC
22,5.72,6,888,4,1,0,1,42,UIUC
23,4.62,6,273,0,0,0,1,22,UIUC
24,6.66,1,745,3,0,0,1,18,UIUC
25,8.9,6,403,4,1,1,1,61,UIUC
26,8.76,7,282,4,0,1,1,62,UIUC
27,4.97,2,446,3,0,1,1,26,UIUC
28,9.08,8,911,2,1,1,1,94,UIUC
29,4.27,0,750,1,1,1,1,10,UIUC
30,7.26,1,794,0,1,0,1,51,UIUC
31,8.79,3,686,2,0,0,1,40,UIUC
32,6.94,8,769,4,0,0,1,38,UIUC
33,2.28,7,667,1,0,0,1,16,UIUC
34,8.76,6,431,3,1,1,1,62,UIUC
35,3.97,3,314,3,0,0,1,23,UIUC
36,6.55,6,778,0,1,1,1,32,UIUC
37,6.63,8,762,0,1,0,1,35,UIUC
38,4.73,8,633,3,1,0,1,23,UIUC
39,2.64,1,731,0,1,1,1,7,UIUC
40,7.95,1,493,3,1,0,1,64,UIUC
41,1.72,1,329,1,0,1,1,2,UIUC
42,4.71,4,264,1,1,1,1,27,UIUC
43,0.14,5,266,2,1,1,1,0,UIUC
44,8.58,4,858,3,1,0,1,66,UIUC
45,7.86,1,280,2,1,1,1,22,UIUC
46,9.01,5,213,1,0,0,1,67,UIUC
47,7.91,5,336,0,0,0,1,51,UIUC
48,2.16,3,208,2,0,0,1,12,UIUC
49,8.71,6,487,4,1,1,1,78,UIUC
50,3.72,5,563,3,1,0,1,26,UIUC
51,0.25,7,253,0,0,0,1,0,UIUC
52,2.93,7,249,2,0,0,1,13,UIUC
53,8.1,8,760,4,1,0,1,74,UIUC
54,6.02,2,295,0,1,1,1,45,UIUC
55,2.13,4,760,1,0,1,1,11,UIUC
56,0.48,4,233,2,0,0,1,0,UIUC
57,6.53,6,249,2,1,1,1,42,UIUC
58,4.13,1,526,1,0,0,1,31,UIUC
59,2.38,0,910,0,0,1,1,10,UIUC
60,9.55,6,525,2,0,1,1,91,UIUC
61,1.56,2,958,0,1,0,1,1,UIUC
62,8,4,820,4,0,1,1,66,UIUC
63,4.97,7,725,1,0,1,1,26,UIUC
64,7.7,1,637,2,0,1,1,35,UIUC
65,0.35,3,644,4,0,1,1,0,UIUC
66,2.43,5,542,3,0,1,1,12,UIUC
67,4.59,8,960,1,0,1,1,26,UIUC
68,7.16,3,783,0,1,0,1,36,UIUC
69,5.83,3,309,2,0,0,1,27,UIUC
70,4.93,0,574,2,1,1,1,14,UIUC
71,2.51,8,378,3,0,1,1,3,UIUC
72,8.99,2,604,2,1,1,1,17,UIUC
73,4.13,5,276,0,1,0,1,21,UIUC
74,3.89,1,443,2,0,1,1,13,UIUC
75,8.57,4,371,3,1,1,1,81,UIUC
76,5.54,2,483,2,0,1,1,18,UIUC
77,8.64,7,747,2,1,1,1,82,UIUC
78,5.39,3,298,2,1,1,1,38,UIUC
79,3.15,1,633,0,1,0,1,16,UIUC
80,0.16,1,871,3,1,1,1,0,UIUC
81,1.43,1,305,2,0,0,1,9,UIUC
82,1.7,8,836,1,1,0,1,1,UIUC
83,2.78,5,608,3,1,0,1,14,UIUC
84,2.11,3,761,0,1,1,1,11,UIUC
85,0.87,0,871,0,0,1,1,0,UIUC
86,4.55,1,917,1,1,1,1,25,UIUC
87,6.84,4,403,1,0,1,1,26,UIUC
88,4.26,0,973,2,1,0,1,11,UIUC
89,3.54,7,541,1,0,1,1,29,UIUC
90,4.81,7,610,1,0,1,1,18,UIUC
91,9.05,4,363,2,0,1,1,48,UIUC
92,2.16,4,860,2,1,0,1,13,UIUC
93,0.17,1,334,2,0,1,1,0,UIUC
94,3.3,8,345,4,0,0,1,23,UIUC
95,5.12,3,282,1,0,1,1,41,UIUC
96,7.94,6,355,2,0,0,1,52,UIUC
97,9.67,5,741,1,1,0,1,87,UIUC
98,1.26,5,522,3,1,0,1,1,UIUC
99,9.78,5,886,1,0,0,1,98,UIUC
