student_id,CGPA,IELTS,GRE,LOR,research_experience,work_experience,course,chances,university
0,9.04,6,959,1,0,1,1,95,UOO
1,0.14,2,755,4,0,0,1,0,UOO
2,4.07,5,894,1,1,0,1,42,UOO
3,8.57,2,271,3,0,1,1,32,UOO
4,6.45,2,485,3,0,0,1,35,UOO
5,0.19,6,465,2,0,1,1,0,UOO
6,0.31,2,283,0,0,0,1,0,UOO
7,0.38,7,428,1,0,1,1,0,UOO
8,4.49,2,863,3,0,1,1,36,UOO
9,6.81,5,878,3,1,0,1,37,UOO
10,1.99,2,727,0,1,1,1,21,UOO
11,9.42,7,907,4,1,1,1,98,UOO
12,3.59,2,805,1,1,0,1,25,UOO
13,0.5,1,478,4,0,0,1,0,UOO
14,7.29,8,985,1,1,0,1,74,UOO
15,1.18,8,982,2,1,0,1,14,UOO
16,2.45,4,757,1,0,0,1,24,UOO
17,9.56,8,901,2,1,1,1,98,UOO
18,5.77,8,761,0,0,1,1,35,UOO
19,3.05,7,976,4,1,0,1,26,UOO
20,0.15,4,878,3,1,0,1,0,UOO
21,5.83,7,538,2,0,1,1,36,UOO
22,7.95,2,376,0,0,0,1,40,UOO
23,2.23,3,855,1,1,1,1,19,UOO
24,5.79,1,849,4,0,0,1,28,UOO
25,2.93,0,437,4,0,1,1,12,UOO
26,4.48,8,696,2,1,1,1,18,UOO
27,7.32,5,488,0,1,0,1,38,UOO
28,6.9,2,465,4,1,1,1,33,UOO
29,4.54,0,408,0,0,0,1,22,UOO
30,1.91,7,964,0,0,0,1,15,UOO
31,9.36,0,491,4,0,0,1,48,UOO
32,5.39,4,615,0,1,1,1,35,UOO
33,5.19,6,754,3,0,0,1,37,UOO
34,1.94,2,710,3,0,0,1,16,UOO
35,9.51,1,417,2,0,1,1,42,UOO
36,1.87,4,372,2,1,1,1,15,UOO
37,8.95,4,265,2,0,1,1,43,UOO
38,7.24,1,322,2,1,1,1,32,UOO
39,9.18,1,443,2,1,1,1,36,UOO
40,0.33,3,240,1,0,0,1,0,UOO
41,3.16,3,475,0,0,0,1,16,UOO
42,4.57,1,298,3,1,1,1,34,UOO
43,6.55,1,958,4,1,1,1,36,UOO
44,2.45,3,581,2,1,1,1,16,UOO
45,9.85,1,278,0,0,1,1,51,UOO
46,6.03,1,325,0,1,0,1,36,UOO
47,3.79,3,774,3,1,1,1,28,UOO
48,9.23,6,986,2,1,0,1,96,UOO
49,8.27,3,383,0,0,0,1,43,UOO
50,9.72,2,271,3,1,1,1,41,UOO
51,7.65,5,857,3,0,1,1,49,UOO
52,6.96,6,940,2,1,0,1,47,UOO
53,4.49,1,742,2,0,0,1,32,UOO
54,1.26,6,645,2,0,0,1,12,UOO
55,3.86,5,880,3,0,1,1,28,UOO
56,2.62,6,849,4,1,1,1,17,UOO
57,8.1,6,948,4,1,0,1,74,UOO
58,4.67,7,668,4,1,1,1,47,UOO
59,3.33,6,679,3,0,0,1,28,UOO
60,1.89,3,630,1,1,1,1,17,UOO
61,9.45,5,502,2,0,0,1,78,UOO
62,9.19,0,426,1,0,0,1,52,UOO
63,9.66,2,223,1,0,0,1,56,UOO
64,3.05,1,542,0,0,0,1,43,UOO
65,9.04,2,721,3,1,0,1,53,UOO
66,5.84,3,771,0,0,1,1,46,UOO
67,0.27,8,522,0,1,1,1,0,UOO
68,1.1,3,558,4,0,1,1,4,UOO
69,4.55,5,792,4,1,1,1,41,UOO
70,2.86,3,358,3,1,0,1,23,UOO
71,0.98,3,823,1,1,1,1,0,UOO
72,5.43,8,827,4,0,1,1,43,UOO
73,2.29,3,497,3,0,0,1,23,UOO
74,2.14,4,509,1,1,0,1,25,UOO
75,8.83,3,556,3,0,0,1,47,UOO
76,5.75,5,722,0,0,0,1,41,UOO
77,7.95,6,457,0,0,0,1,71,UOO
78,0.41,2,806,4,1,1,1,0,UOO
79,9.5,3,433,4,1,0,1,54,UOO
80,9.33,7,699,3,1,0,1,94,UOO
81,9.83,3,928,0,0,0,1,56,UOO
82,0.59,0,753,4,0,0,1,0,UOO
83,6.33,7,710,1,1,1,1,45,UOO
84,1.8,8,330,3,0,0,1,6,UOO
85,4.95,7,935,1,1,0,1,24,UOO
86,5.53,2,801,2,1,0,1,28,UOO
87,2.47,7,246,1,0,1,1,13,UOO
88,9.53,4,408,1,0,1,1,57,UOO
89,5.49,5,475,2,0,0,1,32,UOO
90,1.23,4,419,3,1,1,1,19,UOO
91,5.37,0,641,0,1,1,1,32,UOO
92,4.5,5,360,2,0,1,1,21,UOO
93,0.25,2,922,0,1,1,1,0,UOO
94,2.18,8,885,0,0,0,1,18,UOO
95,5.26,7,287,3,0,1,1,34,UOO
96,8,2,664,3,1,0,1,73,UOO
97,5.51,7,636,4,0,1,1,51,UOO
98,8.86,2,518,3,1,0,1,58,UOO
99,5.66,5,608,4,0,0,1,45,UOO
