student_id,CGPA,GRE,ILETS,LOR,research_experience,course,university,chances
199,9.24,133,0,3,no,MSc in Computer Science,Amity,0.88
35,5.04,270,6,0,yes,MSc in Computer Science,Amity,0.4
72,5.3,188,4,4,no,MSc in Computer Science,Amity,0.45
74,1.18,294,0,1,no,MSc in Computer Science,Amity,0.12
83,3.04,222,1,1,no,MSc in Computer Science,Amity,0.28
85,9.95,221,6,2,yes,MSc in Computer Science,Amity,1
89,3.22,78,7,2,yes,MSc in Computer Science,Amity,0.35
95,3.13,5,4,2,no,MSc in Computer Science,Amity,0.3
198,1.03,40,2,1,no,MSc in Computer Science,Amity,0.08
116,3.39,267,4,0,no,MSc in Computer Science,Amity,0.23
118,7.63,42,3,4,no,MSc in Computer Science,Amity,0.76
46,6.53,189,1,3,no,MSc in Computer Science,Amity,0.63
123,3.37,48,5,3,yes,MSc in Computer Science,Amity,0.33
129,2.59,304,4,2,yes,MSc in Computer Science,Amity,0.25
119,7.7,142,5,1,no,MSc in Computer Science,Amity,0.72
195,3.6,225,4,1,yes,MSc in Computer Science,Amity,0.36
9,4.14,111,1,3,yes,MSc in Computer Science,Amity,0.41
183,1.04,131,1,3,yes,MSc in Computer Science,Amity,0.13
136,4.35,232,0,3,yes,MSc in Computer Science,BITS,0.43
48,9.17,103,2,3,no,MSc in Computer Science,BITS,0.91
56,6.97,93,4,3,yes,MSc in Computer Science,BITS,0.69
68,7.1,15,2,0,no,MSc in Computer Science,BITS,0.68
70,7.76,169,4,1,no,MSc in Computer Science,BITS,0.73
194,7.13,305,3,2,yes,MSc in Computer Science,BITS,0.71
190,7.55,241,2,3,no,MSc in Computer Science,BITS,0.75
80,5.87,319,4,3,no,MSc in Computer Science,BITS,0.56
187,2.96,28,4,1,yes,MSc in Computer Science,BITS,0.27
169,3.79,325,0,0,yes,MSc in Computer Science,BITS,0.35
94,9.47,217,1,0,yes,MSc in Computer Science,BITS,0.93
165,4.96,115,6,4,yes,MSc in Computer Science,BITS,0.49
164,6.12,90,7,3,yes,MSc in Computer Science,BITS,0.62
105,2.42,296,3,4,yes,MSc in Computer Science,BITS,0.22
161,9.07,187,3,1,no,MSc in Computer Science,BITS,0.88
153,3.68,230,7,4,no,MSc in Computer Science,BITS,0.35
152,1.94,74,6,0,yes,MSc in Computer Science,BITS,0.1
127,6.38,56,4,2,yes,MSc in Computer Science,BITS,0.63
150,2.23,338,4,0,no,MSc in Computer Science,BITS,0.2
143,5.45,237,4,1,no,MSc in Computer Science,BITS,0.52
40,2.52,338,6,4,yes,MSc in Computer Science,BITS,0.21
99,1.48,104,5,0,yes,MSc in Computer Science,BITS,0.14
33,1.98,290,8,3,yes,MSc in Computer Science,BITS,0.16
24,7.24,81,4,0,yes,MSc in Computer Science,BITS,0.74
16,7.14,261,2,1,no,MSc in Computer Science,BITS,0.72
39,1.44,228,4,4,yes,MSc in Computer Science,BITS,0.11
34,0.75,44,2,1,yes,MSc in Computer Science,BITS,0.05
122,2.32,81,4,3,no,MSc in Computer Science,Griffith,0.03
138,4.61,337,8,3,yes,MSc in Computer Science,Griffith,0.04
125,5.55,198,4,0,no,MSc in Computer Science,Griffith,0.05
66,4.23,289,6,2,yes,MSc in Computer Science,Griffith,0.12
106,3.46,15,8,4,yes,MSc in Computer Science,Griffith,0.11
160,9.99,108,7,2,yes,MSc in Computer Science,Griffith,0.85
17,8.41,293,8,2,yes,MSc in Computer Science,Griffith,0.81
12,8.22,16,7,3,yes,MSc in Computer Science,Griffith,0.72
77,0.56,114,3,1,yes,MSc in Computer Science,Griffith,0
78,0.83,176,4,3,yes,MSc in Computer Science,Griffith,0
134,7.82,156,7,0,yes,MSc in Computer Science,Griffith,0.69
162,9.45,69,9,1,yes,MSc in Computer Science,Griffith,0.94
174,6.28,272,4,2,no,MSc in Computer Science,Griffith,0.28
84,2.34,122,2,2,no,MSc in Computer Science,Griffith,0.02
120,3.61,311,5,0,yes,MSc in Computer Science,Griffith,0.03
103,1.41,262,5,4,yes,MSc in Computer Science,Griffith,0.01
49,1.1,27,0,4,no,MSc in Computer Science,Griffith,0.01
